Company Name,Number of Transactions,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
Siddhartha Bank Limited,215,311.50,305.70,306.00,35449.00,10925950.90,308.40,-2.40 
Siddhartha Equity Fund,8,9.82,9.56,9.82,22790.00,220404.40,9.65,0.17 
Siddhartha Investment Growth Scheme - 2,33,9.89,9.70,9.73,147718.00,1439990.21,9.70,0.03 
Sindhu Bikash Bank Ltd,52,304.00,288.00,290.00,6063.00,1784184.00,290.40,-0.40 
Singati Hydro Energy Limited,76,297.00,284.00,285.00,7047.00,2034682.00,288.10,-3.10 
Soaltee Hotel Limited,106,219.80,212.20,213.00,60194.00,12938952.00,219.00,-6.00 
Standard Chartered Bank Limited,90,437.00,425.00,430.00,11210.00,4815760.70,429.00,1.00 
Summit Laghubitta Bittiya Sanstha Limited,23,910.00,880.00,881.00,3040.00,2705191.00,895.00,-14.00 
Sunrise Bank Limited,123,210.00,206.00,207.00,19601.00,4059087.30,209.20,-2.20 
Sunrise Bluechip Fund,8,8.36,8.04,8.11,14100.00,114514.00,8.20,-0.09 
Sunrise First Mutual Fund,5,11.65,11.50,11.65,43400.00,499290.00,11.50,0.15 
Support Microfinance Bittiya Sanstha Ltd.,10,1345.00,1317.00,1345.00,220.00,294175.00,1340.00,5.00 
Suryodaya Womi Laghubitta Bittiya Sanstha Limited,87,852.00,800.00,806.00,3123.00,2550218.50,823.00,-17.00 
Swabalamban Laghubitta Bittiya Sanstha Limited,134,1315.00,1290.00,1290.00,19903.00,25872160.80,1293.00,-3.00 
Swabhimaan Laghubitta Bittiya Sanstha Limited,14,1581.00,1530.00,1560.00,487.00,758377.00,1550.00,10.00 
Swarojgar Laghu Bitta Bikas Bank Ltd.,55,990.00,953.00,957.00,5320.00,5149792.20,971.00,-14.00 
Synergy Power Development Ltd.,148,341.00,327.00,329.00,19739.00,6548081.50,335.00,-6.00 
Taragaon Regency Hotel Limited,12,365.00,345.00,346.00,1080.00,381290.00,352.00,-6.00 
Terhathum Power Company Limited,124,498.00,467.00,468.00,11437.00,5430496.00,490.00,-22.00 
Unilever Nepal Limited,57,20250.00,18868.00,18905.00,860.00,16545143.00,20600.00,-1695.00 
Union Hydropower Limited,201,257.00,238.00,243.00,38565.00,9500013.00,247.10,-4.10 
United IDI Mardi RB Hydropower Limited.,132,699.90,656.00,657.00,15436.00,10362054.00,668.00,-11.00 
United Insurance Co. (Nepal) Ltd.,87,420.20,386.00,387.00,16495.00,6488144.80,396.50,-9.50 
United Modi Hydropower Ltd.,274,299.80,286.00,289.90,79385.00,23178197.80,294.00,-4.10 
UNIVERSAL POWER COMPANY LTD,358,268.20,257.00,257.00,100620.00,26302480.30,264.00,-7.00 
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,53,1035.00,990.10,1000.00,2121.00,2142463.40,1030.00,-30.00 
Upakar Laghubitta Bittiya Sanstha Limited,114,3815.00,3701.00,3799.00,2995.00,11231313.80,3814.80,-15.80 
Upper Hewakhola Hydropower Company Limited,50,143.20,130.20,143.20,194.00,26058.10,0.00,13.00 
Upper Tamakoshi Hydropower Ltd,395,496.00,481.00,481.00,50811.00,24803904.00,489.20,-8.20 
Vijaya laghubitta Bittiya Sanstha Ltd.,58,1018.00,990.00,990.00,2592.00,2590822.70,1026.00,-36.00 
Wean Nepal Laghubitta Bittiya Sanstha Limited,20,1091.00,1067.60,1080.00,565.00,606328.50,1088.00,-8.00 
